S.H.Dudley-31-32
KnickerbockerQuartet-11-20
VirginiaListon-RollsRoycePapa1926
VrsAcoustics-88354-MattiaBattistini
BurtShepard-ParodyOnTheSuwaneeRiver1902
VrsAcoustics-74063-AliceNielsenFlorencioConstantino
VrsAcoustics-74221-JohnMccormack
JosephPCullenWillianGCollins-BerkeleyMarch1898
VrsAcoustics-88326-PasqualeAmato
VrsAcoustics-74813-OrvilleHarrold
OhDontItTickleYouByWillF.Denny1902
IveFinishedWithLilyForEver1929
VrsAcoustics-74813-OrvilleHarrold_156
LingerAwhile_60
FourLittleBlackberriesByVessL.Ossman1910
GraceLaRue
VrsAcoustics-95033-AdelinaPatti_575
PremierQuartetAmericanQuartetwithAdaJonesBillyMurray
OrpheusQuartetwithHarryMacDonough
AmandaRandolphOrchVamandaRandolph-SomethingInMyEye
PaulWynn
PeerlessOrchestra
ReturnOfSpring1921
DonGordonPianoVimperialQuartet-BetweenTheDevilAndTheDeepBlueSea
TheLandWhereTheAngelsAreByHarryTrevor1910
HarryMacDonoughOliveKline
WhereTheLanternsGlow_867
AdamovAndCompany-MalaZenaVelikaZena
ThePlumberByWinifredHareAndPercyClifton1908
TopOfTheMorningBridgetMccueByAdaJones1911
PrancinDancinYodelinMan
Coquette_860
VrsAcoustics-74683-GiovanniMartinelli
VrsAcoustics-88176-EmilioDeGogorza
VrsAcoustics-88410-FriedaHempel
VrsAcoustics-88450-FriedaHempel
VrsAcoustics-88633-LucreziaBori
VrsAcoustics-967a-LucreziaBori
WaltzMeAroundAgainWilly1908
VrsAcoustics-6440b-RosaPonselle_5
VrsAcoustics-64098-BlancheArral_404
VrsAcoustics-6532b-FeodorChaliapin
VrsAcoustics-74005-EllisonVanHooseEmilioDeGogorza
VrsAcoustics-74155-CharlesGilibert
VrsAcoustics-74212-OttoGoritz
VrsAcoustics-74610-ReinaldWerrenrath
VrsAcoustics-74697-GiuseppeDeLuca
VrsAcoustics-64876-GabriellaBesanzoni
VrsAcoustics-87351-LucreziaBori
VrsAcoustics-88327-PasqualeAmato
VrsAcoustics-88086-EmmaCalve
VrsAcoustics-88005-EmmaEames
VrsAcoustics-88329-PasqualeAmato
VrsAcoustics-88116-JohannaGadski
VrsAcoustics-88365-MargareteMatzenauer
ShostakovichPrlude
Dardanella_552
HelenClark
SrnadeMarinette1909
StevePorterByronGHarlan
StravinksyFirebirdSuite
SterlingTrioHenryBurrAlbertCampbellJohnMeyer
TheClangOfTheForge
ErnestPikeAsHerbertPayne-01-05
TannhusereveningStar1909
VrsAcoustics-92015-LuisaTetrazzini
AGonnaBeHomeTo-night
AlAlbertsOrchestra1928
AlBowlly1933ImPlayingWithFire
SophieTucker81-83of80
Smiles_862
Deel14-1944-1945
VrsAcoustics-74077-EmilioDeGogorza
CharlesHart-SoLongMother
KissMeHoneyDo
CarusowithRosarioBourdon
ImTalkingAboutMyWonderfulGirl
MargueriteSylvaCarlHayden
VrsAcoustics-88426-LuisaTetrazzini
MaryJordan-01-03
FreddieRichRadioOrchElmerFelkamp-LittleGirl1931
ThreeGoodTurns1930
MauriceDeclry-PauvresFous1907
CalStewartwithAdaJonesAmericanQuartet
ArthurHall-WhereTheBlackEyedSusansGrow1917
HenryBurr-161-170
IDontLikeYourFamily
RoyHarrisSymphonyNo.3
WilliamFRochester
MommaGoesWherePapaGoes
YouCantBelieveMyEyes
VrsAcoustics-6529b-BernardoDeMuro
WhenYouWoreATulipAndIWoreABigRedRose_150
MetropolitanTrioFrankStanleyHenryBurrEliseStevenson
Caruso-Marta
MarieKaiser-01-05
Band
GuidoDeiro
HenryClayBarnabeeGeorgeFrothinghamHelenaFredricks
CarusoFranchetti
NationalPromenadeBand-61-70
AmericanSymphonyOrchestra-LaDanseuse1920
CaliforniaRamblersVelmerFeldkamp-ItsTheGirl1931
IdLoveYouAllOverAgain
LesterMcfarlandAndRobertA.Gardner-IllBeAllSmilesTonight
CastlesInTheAirByThomasChalmers1909
MargueriteSylvaArthurAlbro
Tchaikovsky-stokowskiHumoresque
BurtShepard
IllChangeTheShadowsToSunshine
ReedOrchestra-CordAndTassel1922
VrsAcoustics-88613-LouiseHomer
RudySooterHorseOperaCompany
EdLloydOrchestraVelmerFeldkamp-JustALittleCloser1930
IAintNeverHadAnybodyCrazyOverMe
ThomasGannonTheAnchonryLassiesLadyGardnersTroops
EdisonMixedQuartet-41-43
JuhoKoskelo-01-07
Caruso-Mascheroni
DorothyKingsley-EvryonesInLoveWithSomeone1908
FrankC.Stanley-101-102
MaryZentay-01-03
TrueBlue_461
InSiammedley
LilLizaJane_90
FrankC.Stanley-71-80
RunBrudderPossumRun
EdisonSextette-TellMePrettyMaiden1908
Good-night
FeelinKindOBlue
HenrySantrey
Mme.Gulbrandsen-calvert-01-04
AreYouPlayingFair
CharlesG.Widdn-Bergslagstroll
ErnestPike-11-12
OnAnAutomobileHoneymoonByHarryTally1906
VrsAcoustics-74004-VanHoose-deGogorza-journet
RobertPrice-01-10
CombinedBandsOfDebroySomersPicadillyRevelsKit-katAndLondonRadio-
HenryBurr-91-100
NickLucas-01-06
VrsAcoustics-88143-MarcellaSembrich
LenSpencerGeorgeGraham
VrsAcoustics-89135-Battistini-deWitt-taccani
DownAmongTheSleepyHillsOfTenessee
Mr.Dooley1902
MaryOfArgyle1919
CarusoFucito
HelenClark-21-30
J.StraussTheGypsyBaron-Overture
VrsAcoustics-74712-GiovanniMartinelli
CollectedWorksOfCharlesDaab
ElizabethWheeler
ThatWonderfulKidFromMadrid
TheGeraldMarksTullerHotelOrchestra-IfICantHaveYou1928
TeddyKlineOrchVtheTwoJazzers-ImDoingForLove1929
JuliaHeinrich-ForzaDelDestino.MadrePietosaVergine
VrsAcoustics-74591-GiuseppeDeLuca
UnderOrders
IndestructibleBohemianOrchestra-TheWatermelonFete1910
nms20081109sun_theBigBroadcast_3files_56js44
VrsAcoustics-88575-LouiseHomer
AileenStanleyWithTheVirginians-DontThinkYoullBeMissed
Rachmaninoff-PaganiniRhapsodyrachmaninoff
WeyertA.Moor-01-09
SchumannManfredOverture
LooLoo-ooMyDuskyLoo1902
AlBernard-StrutMissLizzie1921
IToldYouSo_282
INeverKnewHowWonderfulYouWere
RoyalTourist1921
VrsAcoustics-74107-AliceNielsen_435
SweetLittleYou
VrsAcoustics-88023-MarcellaSembrich
VrsAcoustics-88089-EmmaCalve
MyLittleZuluBabeBySilasLeachman1901
VrsAcoustics-74088-EvanWilliams
RubyBrooks-StarsAndStripesForever1902_207
VrsAcoustics-74115-EvanWilliams
VrsAcoustics-88026-MarcellaSembrich
CharlieChase-ExperiencesInShowBusiness1909
MargaretRomainGeorgeMacFarlane
RoseOfMyHeart1919
VrsAcoustics-74121-AliceNielsen
StevePorterAdaJonesByronGHarlan
VrsAcoustics-88504-LuisaTetrazzini
FritzKreisler
EugeneA.JaudasAndEugeneC.Rose-01-10
BennyBorgTheSingingSoldier
FlanagansMother-in-law1908
ElizabethBrice
VrsAcoustics-74601-MischaElman
JacquesUrlus-StillWieDieNacht
JaudasSocietyOrchestra-41-50
IWantToBeASoldierByByronG.Harlan1904
StevePorterEdwardMeeker
VrsAcoustics-74250-GeorgeHamlin
WagnerLohengrinPreludeToActIii
MedleyOfHarriganAndBrahamSongsByTheColumbiaStellarQuartet1915
will_starr_1
OKatharina_623
CarstenWoll-SommersolTilSidsteStund1922
InTheStarlightByMacdonoughAndDudley1903
VrsAcoustics-85005-LouiseHomer
VrsAcoustics-74308-MischaElman
CesareAlessandroniMadelaineBorschneckIrmaWright-heimsJoseErard
CollectedWorksOfBobbyNaish
HeinrichGrossman-OhSusanna1907
VrsAcoustics-89004-EmmaEamesEmilioDeGogorza
CarusoPonchielli
PaulVandammeQuintet1943
VrsAcoustics-74107-AliceNielsen
walter_dale_orange_and_blue
Caruso-LaForzaDelDestino
LeclatDeRire
VrsAcoustics-89062-PasqualeAmatoMargareteMatzenauer
RussColumbo1934
EwaldBrckner-DuLieblicheRoseAnMeinerBrust1907
VrsAcoustics-74082-HerbertWitherspoon
JohnF.Burckhardt-SouthernMelodies1919
CharlesW.Harrison-21-24
VanAndSchenk-OpenTheGoldenGatesToDixie
RossDogTrot
JosephSamuels-TheLandOfSweetErin1921EdisonCylinder
OCanada_284
VrsAcoustics-74573-GiovanniMartinelli
ShannonFour-TheresAVacantChairInEveryHomeTonight
Proptraekker2
TheEdisonAllStarEnsemblevaughnDeleathEtc-GemsFromOnWithTheShow
TheDuncanSistersrosetta.Vivian-ImFollowingYou1930
GilmoresBand-01-10
RobertLouis-TheDaughterOfRosieOGrady1918
MinnieEmmett-MyDrowsyBabe1902
NationalPromenadeBand-01-10
ErnestGray-StandToYourPostInRemembranceOfTheTitanic1912
DownByTheO-hi-o
EnriqueMadrigueraHotelBiltmoreOrch-LetsHaveAnotherCupOfCoffee1933
FrankCroxton-RockedInTheCradleOfTheDeep1913
TheWhistlingBoweryBoyByFrankKernell1905
EdwinSwain-ThreeForJack
ElaineGordon-DerbyDayInDixie1918
JulesLevy-SweetAndLow1921
VrsAcoustics-89002-MarcellaSembrichAntonioScotti
FlanagansMotorCar
FeversOnByArthurCollins1906
GilmoresBand-31-37
FrankPollockHenriettaWakefield-WhoCanTellMeWhereSheDwells1913
EdisonConcertBand-21-30
GeorgeMcfadden-CallAgainMr.Calligan
MarieSundelius-Vallat1918
LouiseLeBaron-ThatsWhatTheRoseSaidToMe1907
CharlesHackett-YesLetMeLikeASoldierFall1913
CornelisBrongeest-MdchenOderWeibchen1911
E.JaudasAndE.Rose-DreamOfTheTryoline1906
DiamondFour
LenSpencer-61-70
WagnerGtterdmmerungDawnAndSiegfriedsRhineJourney
GladysRice-41-45
PeerlessTrioStevePorterByronGHarlanBillyMurray
CharlesHackettAndThomasChalmers-Lost1913
TheVillainStillPursuedHerByW.WhitlockAndOllyOakley1908
BeatriceCollin-CradleSong
EthelLeveyBlancheTomlinJosephCoyne
MisterGallagherAndMisterShean
VrsAcoustics-88056-MarioAncona
EddieQuillanSallyStar-DeepInYourHeart1930
JeanetteMacdonnald-LoverComeBackToMetheNewMoon1927
SingMeThosePrettySongsAgain
ItsMineWhenYoureDoneWithIt
MyMoneyNeverGivesOutByArthurCollins1902
YourMotherWantsYouHomeLadByRobertPrice_245
NobodyLied
J.LouisVonDerMehdenJr.AndHisOrchestra-Violets1909
TheBuffalodians-HereComesEmaline1926
nms200900222_BigBroadcast_2files_184m21s_56js44
VrsAcoustics-88128-LouiseHomer
FernandBar-Marsillaise1908
BlossomSeeleyBinnieFields-BluebirdHello
BillyMurraywithInternationalNoveltyOrchestra
HeinrichKnote-Liebeslied1906
WatsonSisters
CreatoreAndHisBand-IndianMarch1929
OKatherina
FranklinBauerHelenClark-ACupOfCoffee1925
CarusoQuiSottoIlCiel
MyHero1942
ExploitationRecord-BroadwayBabies1929
VictorMinstrelCompany
ErnstAlbertCouturier-Serenade
AlH.WestonAndIreneYoung-AtTheCircus1921
ErnoRappayOrchVhelenRoland-SomeOfTheseDays1932
JerryColonna-WhenDayIsDone1945
ViennaInstrumentalQuartette-01-03
SallyInOurAlley1909
JohnLacallesBand-01-10
StevePorter-61-70
BenSelvinsNovelityOrch-Dardinalla1919
JohannesBischoff-Trinklied1911
SmithsSacredSingers-TheEasternGate
Pierre-aurleAsselin-01-03
ElisaTromben-Lohengrin1918
AnyOldTimeAtAll
Hortense
MySaharaRose1920
GeorgeE.StoneOrch-Medly1934
LorraineAndThorne-WhenWeveWoundUp1914
BroxSisters-SomeSunnyDay
INeverHadAMammy_279
FrankAndJamesMccravy-OnlyARosebud
HarryAnthony-aka-johnYoung-91-100
SympathyByArthurCollins1905
AbeLymonOrchVphilNeely-DontBeLikeThat1928
Mrs.ClarenceEddy-KathleenMavourneen1913
MarshallPinckneyWilder-StoriesAboutTheBaby1908
JackPurvisOrchestra-BeBoBo1930
HarryAnthony-aka-johnYoung-11-20
FrankKennedy-SchultzOnMalaria1901
HiloMarch
MauriceBurkhart-21-23
HarryAnthony-aka-johnYoung-01-10
ClaraSmith-DontAdvertiseYourMan
L.V.JonesAndHisVirginiaSingingClass-WillMyMotherKnowMeThere
VrsAcoustics-89510-ElenaRuszcowskaBiancaLavinDeCasas
HarryTaft-TheMockingBird1899
WhistlingMedleyByMiltonClark1898
CarmenMelis-AndreaChnier.mammaMorta1910
OrioleBlues
BurtonLenihan-ShesTheDaughterOfMotherMachree
RuebenAndCynthia
MauriceBurkhardtStandardQuartetPeerless
VrsAcoustics-88063-MarioAncona
VrsAcoustics-89155-Ruszcowska-cappiello-tapergi-davi
ErnestGray
ChuckKingHisKentuckians-GreenRiverBlues1928
FredWaringsPennyslvanians-AlmaMammy1929
MyHeroByLucyIsabelleMarsh1910
ElectricCity4-BeelaBoola1921
IreneArmstrong-MyLaddie1912
VrsAcoustics-87040-AntonioScotti
AnnaCase-BelieveMeIfAllThoseEndearingYoungCharms
PaddyKilloranIfThereWasntAnyWomenintheWorld
StickInTheMud
JustForTonight
primeragrabacionhistoria
VirginianJudge
Mr.RadioMan_408
MotherOfMineIStillHaveYou
BurtHirshOrchVsmithBallew-LetsGetFriendly
CollectedWorksOfTheInternationalPhonographicLanguageSchoolPartThree
AdaJonesLenSpencer-APictureOfLongAgo1920
AlbertAlvarez-PortervisanFranMartha1905
CrossTheAtlantic1945
CollectedWorksOfMoseTappiero
IDontCareToLiveInAnyMarbleHallsWithYou
VrsAcoustics-74039-MarcelJournet
TheColumbiansOrchVfranklynBaur-MoonlitWaters1928
NationalPromenadeBand-71-72
IAintenGotenNoTimeToHaveTheBlues
SibeliusValseTristeabridged
EarlFullersRectorNoveltyOrch-SweetEmalinaMyGal1918
ElizabethSpencer-51-60
VrsAcoustics-88293-LuisaTetrazzini
VrsAcoustics-89120-AntonioPaoliAndreasPerelloDeSegurola
CarusoBraccolyrCaruso
Marion_29
ISaidHoorayByJackPleasents1909
YouAintHeardNothingYet
VrsAcoustics-74036-MarcelJournet
VrsAcoustics-74154-MarcelJournet
VrsAcoustics-74537-GiovanniMartinelli
TuneTheOldPiannerByFlorrieForde
AmericanQuartet-51-60_999
JackShilkretsOrchestrawithBillyMurray
HughesMacklinAndDavidBrazell-WhisperAndIShallHear
TheBroadwayNitelites-MySilverTree1928
GladysWalker-ParadiseInWaltzTime
SobbinBlues
W.F.Frame-ThePipers1904
FollowTheSwallow
WhenTheGoldenRodIsBlooming
CarusoRubinstein
LenSpencerStevePorter
PeteLemaire-01-04
PrettyAsAPicture
MarieRappold-11-18
DorothyKingsley-ItAlwaysComesWithTheSummer1908
AlbertAlvarez-RomanceDuActe1905
DigbyBell-TheBlindBoyInTheGallery1909
VrsAcoustics-88006-EmmaEames
Interuptions1909
VrsAcoustics-88311-LuisaTetrazzini
VrsAcoustics-74038-MarcelJournet
JaudasSocietyOrchestra-31-40
NationalPromenadeBand-51-60
EdnaWhiteChandler-01-02
VrsAcoustics-88175-EmilioDeGogorza
VrsAcoustics-74156-MarcelJournet
HarmonyQuartetColumbiaQuartet
RamblerMinstrelsStevePorterBillyMurrayArthurCollinsByronGHarlan
NoveltyOrchVbinnieHaleJackBuchanan-Who
AndrejGellert-EjMamJaKonaVSiromPoli
JoeSandersNighthawks-21-23
VrsAcoustics-88081-MarioAncona
SHDudleyLenSpencer
GstaJonsson-01-15
Caruso-LaBoheme
JoeNatus-IveALongingInMyHeartForYouLouise1902
SaluteToBostonJig
VestaTilley-01-05
JamesFHarrison
GreaterNewYorkQuartet
VrsAcoustics-74510-AmelitaGalli-curci
CollectedWorksOfAugustP.Stengler
JamesMelton-01-03
CharlesCrawfordGrost-BirdsImitations1915
WaltzMeAroundAgainWillyByWillDanby1908
TheMockingBirdByHarryTaft1899
JohnMccormack71-80of-irishTennorcollection
HenryBurrHelenClark
JosephNatus
HermanSandby-Jocelyn
GeorgeP.Watson-21-30
CalStewartWifewiththeHaydnQuartet
AlBerhardAndErnestHare-IComeFromGet-it-land1920
MassasInDeColdcoldGround
SpringBankHouseDismalReels
SterlingTrio-01-03
AndrejPelak-VKalinovymLeseinKalinovaForest
VrsAcoustics-95202-MarcellaSembrichEmmaEames
BillyJonesErnestHare-HowDoYouDo
VrsAcoustics-88463-FriedaHempel
CollectedWorksOfVanAvery
AugustSchmehl-MoonWinks1909
ByTheRiverSainteMarie1931
MaybeShellPhoneMe
ArthurFields-YoureGoingToBeMine1930
ArthurFieldsAndTheBroadwayMerryMakers-ICantSleepInTheMovies
HarryLauder-BonnieLeezieLindsay1910Edison-12080
KendlesFirstRegimentBand
ManuelRomain
CollectedWorksOfVirginiaPowellGoodwin
HaroldMenningOrch-AvalonTown1928
HSWright
TheLassOcorrieMillStrathspeyFishersWeddingPearthAssemblyReel
CharlesPLowe
VrsAcoustics-74735-MarcelJournet
ClarenceSennaComedianWithPiano-TheDempseyTunneyFight1927
EthelJackson
BobDownYoureSpottedByArthurOsmond1911
nms200900215_BigBroadcast_2files_131m19s_56js44
VrsAcoustics-88649-MattiaBattistini
BillyMurrayHelenClark
Georgette
SayItWithFlowers
JohnnyMarvinOrch-OrangeBlossomTime1929
VeOrthophonic-6623a-MaryGarden
Mr.MartinsComplimentsToDr.KeithMacdonaldDr.KeithAberdeenTheNew
FatherTriedItOnByArthurPeel1910
StellaMayhew
FrancesWhite
HarryEllis
LadyCarolineMontagueLadyLoudenLadyMuirMackenzie
AlBernardErnestHare-01-05
20080803sun_theBigBroadcast_4hours_3files_56js22
BillyMurrayFredericRose
AdaJonesCalStewart-UncleJoshsBirthday1920
AlBernard-MississippiBound1920
StevePorter-01-10
SamLaninsIpanaTroubadores-Who
BiedermannLufskyAndPrince-AnMeineMuter1906
FeelingTheWayIDo
RosewoodsDirkTimourTheTartaraReels
MousmeSelectionpart1-TheArielLondonOrchestra-GramophoneRecord
IdaVaudre-01-04
EugeneCowles-TheAmorersSong1906
HelenClarkElliotShaw-YoureJustAFlowerFromAnOldBouquet
RoselandDanceOrchestra-IveGotASongForSale1923
JacquesRenardOrchJohnnyMarvin-TooFarTooLong
JosephHortiz
ArthurS.Witcomb-MyHeartAtThySweetVoice
BroadleyAndGouraud
CarusoTostilyrCimmino
AintDatAShameMedleyByWilliamMoriarity1908
VrsAcoustics-74518-GiovanniMartinelli
VrsAcoustics-92031-CelestinaBoninsegna
VrsAcoustics-74147-BlancheArral
VivianBlane
ArthurPeel-FatherTriedItOn1910
GladysRice-11-20
PeacefulValley
JustAsWeUsedToDo
VrsAcoustics-95213-Martinelli-deLuca-mardones
ArthurC.Lichty-ItsTulipTimeInHolland
EmilDelley-DeresAFdesLvamNeEgy1902
AmericanWorksForSoloWinds
CloverBlossomBlues
HelloThereMacintyre
VrsAcoustics-74195-MarcelJournet
CarusoZardolyrBoito
nms20080928sun_BigBroadcast_3files_233m41s
VrsAcoustics-88515-JohannaGadski
LotusMaleQuartet
AmericanSymphonyOrchestra-CrimsonBlushes1920
GeorgesMarty-GrandAir1905
TheyreWearingEmHigherByCollinsAndHarlan
RedferneHollinshead-01-03
RobertE.Clark-WhyILoveHim
VrsAcoustics-88302-LuisaTetrazzini
LannerQuartet-WienerLndler1907
VrsAcoustics-74163-MischaElman
JosephCawthorn
FredDuprez-01-08
CourtinCoraibell1940
OllivottiTroubadours-CarnivalOfVenice1909
CollectedWorksOfTheInternationalPhonographicLanguageSchoolPartTwo
CarusoGiordano
TonyYoungsRamblersVeddieGross-bart-Lila1928
OnTheCampus-march
FrancesWhite-Go-zin1917
BillyMurrayVictorRobertsBillyJones
MaleVoicesColumbiaQuartet
ArmandVecsey-PoorButterfly
CottonPickers-BackUp-town
VrsAcoustics-88154-EmilioDeGogorza
VrsAcoustics-66107-CristinaSoroDeBaltra
BillyJonesAndErnestHare-NoOneLovesYouBetterThanYourMammy
Nellore_Arcane_Della_Sua_Lussuria
MarkricoShellyOrchestra1935-1938a
ChasingShadows1935
RozsaSLajosDicsertessekSzolALegenyCa1915
MetropolitanBand-01-05
VrsAcoustics-74639-AmelitaGalli-curci
JohnSteel-APrettyGirlIsLikeAMelody1938
ColumbiaOrchestra-01-10
VrsAcoustics-74624-OrvilleHarrold
VrsAcoustics-74336-MischaElman
HelenClark-51-60
HarryLauder-ILoveALassieMyScotchBluebell1905ver
VrsAcoustics-74111-GeorgeHamlin
VrsAcoustics-88058-JohannaGadski
VrsAcoustics-88437-PasqualeAmato
MrsJ.WalkerCastleMagneticHornpipes
EdisonMilitaryBand-101-110
SweetVioletBoys-11-20
PhiladelphiaSymphonyOrchestra-MidsummerNightsDream1918
BlueBonnet
PawelOndricka-SlovakDanceMedley1930
VrsAcoustics-74335-FrancesAlda
HarryRadermansJazzOrchestra-18-19
ArthurTannerAndHisCornShuckers-TheJealousLover
HarryTally-01-10
Lauterbach
NobodyKnowsHowToKissMeByBillyWilliams1912
NonsenseByWillF.Denny1906
GeorgiaMelodians
AugustSchmehl-MedleyOfPopularSongs1909
HalLevinsCollegiansVjoeSherman-HaveYouForgotten1926
CollectedWorksOfOllyOakley
HarryLauder-InTheRo-ta-ry
GeorgeScottWoodOrchValBowlly-AMillionDreams1932
BertHarvey-Freckles1920
CarmenDragonOrchestra-01-04
MischaElman-Humoresque1910
CollectedWorksOfFrankKennedy
JamesBrockman-Mariutch1908
Kerekes_Jeno-Zug_A_Vihar
FlorencioConstantino-AhNonCredeviTu1913
BudAndJoeBillingsfrankLutherAndCarsonRobison-ColumbusStockadeBlues
VrsAcoustics-89045-FernandoDeLuciaMariaGalvany
GeorgesDulire-Huguenots1911
VrsAcoustics-74123-MarcelJournet
ReedMiller-01-10
ByrenG.Harlan-ImTieingTheLeavesSoTheyWontComeDown1908
MargaretRomainGeorgeMacFarlane-OhGustave1914
OrlandosOrchestra-VenetianMoon1920
LiberatisBand-LaMiaSperanza
HarrySpencer-lenSpencersTwinBrother-01-03
CollectedWorksOfManuelRomainPartNine
MartinAndPaulBendix-01-04
ChorusGirls
IndestructibleMilitaryBand-31-40
ChristieMacDonald-Sweethearts1913
ImCryingJustForYou
PennsylvaniaSyncopatorsVarthurFields-ClapYoHands1926
HarryLauder-WeeBoyclean
EarlFullersRectorNoveltyOrch-Singapore1918
ThomasA.EdisonSpeaking-01-04
OresteHisQueenslandOrchestraVjackKaufman-SideBySide1927
EverybodyLovesYou
ClaudeIsaacs-SingBirdsOnTheWing
CharletWoolman-TheTootsiesInAnUpperBirth1925
ColumbiaMinstrels-Minstrel1913
IWantAPrettyGirl
EarlShirkeyRoyHarper-WhenTheRosesBloomForTheBootlegger
JoeNatus-TheFatalRoseOfRed1902
TedLewisHisOrchestra
JayWilburOrchestra-WhoKnows1929
AreYouFromHeavenByHenryBurr1918
Humphrey-OutToOldAuntMarys1910
IWantARegularPalForAGal
carlos1
Caroline
CircleMedleyWaltz
VrsAcoustics-87356-LucreziaBori
Mr.JohnMackenzieO
1920s-walterScanlan-01-03
ItsAVeryEasyThingToPutARingUponAFingerButTryToTakeItOff
ErnestL.Stevens-ThreeOclockInTheMorning1923
JosephPCullenWillianGCollins
